athlete_id,name,born_date,born_city,born_region,born_country,NOC,height_cm,weight_kg,died_date
1,Jean-François Blanchy,1886-12-12,Bordeaux,Gironde,FRA,France,,,1960-10-02
2,Arnaud Boetsch,1969-04-01,Meulan,Yvelines,FRA,France,183,76,
3,Jean Borotra,1898-08-13,Biarritz,Pyrénées-Atlantiques,FRA,France,183,76,1994-07-17
4,Jacques Brugnon,1895-05-11,Paris VIIIe,Paris,FRA,France,168,64,1978-03-20
5,Albert Canet,1878-04-17,Wandsworth,England,GBR,France,,,1930-07-25
6,Nicolas Chatelain,1970-01-13,Amiens,Somme,FRA,France,181,70,
7,Patrick Chila,1969-11-27,Ris-Orangis,Essonne,FRA,France,180,73,
8,Henri Cochet,1901-12-14,Villeurbanne,Rhône,FRA,France,,,1987-04-02
9,Marcel Cousin,1896-08-04,Nîmes,Gard,FRA,France,,,1986-08-01
10,Guy de la Chapelle,1868-07-16,Farges-Allichamps,Cher,FRA,France,,,1923-08-27
